Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Size,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
32,33,Male,Dress,Clothing,79,West Virginia,Brown,L,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,Male,Jacket,Outerwear,67,Kansas,Silver,M,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,Male,Pants,Clothing,38,Colorado,Green,L,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,Male,T-shirt,Clothing,91,North Dakota,Violet,L,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,Male,Blouse,Clothing,33,Massachusetts,Cyan,M,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,69,Illinois,Maroon,M,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,Male,Jeans,Clothing,45,Indiana,Cyan,S,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,29,Male,Dress,Clothing,37,Florida,Red,M,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,70,Male,Pants,Clothing,60,Arizona,Turquoise,S,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,69,Male,Handbag,Accessories,76,Louisiana,Beige,L,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,39,Alaska,Orange,M,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
43,20,Male,Coat,Outerwear,100,Tennessee,Beige,M,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
44,25,Male,Scarf,Accessories,69,Ohio,Lavender,L,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,39,Male,Hat,Accessories,53,Kentucky,Silver,S,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,50,Male,Socks,Clothing,21,Tennessee,Indigo,XL,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,57,Male,Shirt,Clothing,43,California,White,L,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,Male,Jewelry,Accessories,54,Montana,Charcoal,M,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,Male,Shirt,Clothing,55,Nevada,Orange,M,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,Male,Hoodie,Clothing,30,New Jersey,Indigo,S,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,28,Maryland,Red,M,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,59,Vermont,Gray,XL,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,20,Alaska,Green,M,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,Male,Skirt,Clothing,24,Mississippi,Peach,S,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,Male,Coat,Outerwear,94,New Mexico,Brown,M,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,28,South Carolina,Lavender,M,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,Male,Backpack,Accessories,73,Mississippi,Brown,XL,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,Male,Coat,Outerwear,64,West Virginia,White,M,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,54,Missouri,Charcoal,M,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,63,Male,Belt,Accessories,79,Louisiana,Yellow,L,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,Male,Sweater,Clothing,37,Idaho,Brown,L,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,55,Male,Scarf,Accessories,68,Texas,Orange,M,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Male,Sneakers,Footwear,21,Mississippi,Magenta,S,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,Male,Sunglasses,Accessories,79,Arizona,Lavender,L,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Male,Boots,Footwear,83,Alabama,Green,S,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,36,New Jersey,Purple,M,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,31,Male,Blouse,Clothing,94,Pennsylvania,Magenta,S,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,45,Male,Coat,Outerwear,33,Connecticut,Gray,L,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,Male,Handbag,Accessories,46,Utah,Silver,L,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,Male,Belt,Accessories,70,Tennessee,Cyan,S,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,22,Male,Belt,Accessories,29,Alabama,Magenta,M,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,48,Virginia,Gold,L,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,Male,Dress,Clothing,26,Georgia,Olive,M,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,Male,Pants,Clothing,85,Hawaii,Teal,M,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,Male,Gloves,Accessories,58,Indiana,Violet,L,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64,Male,Scarf,Accessories,85,Utah,Blue,M,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,Male,Hat,Accessories,43,Delaware,Teal,S,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,22,Male,Dress,Clothing,53,Delaware,Gold,L,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,91,Nebraska,Maroon,M,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,38,Male,Jacket,Outerwear,96,Iowa,Olive,M,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,Male,Sandals,Footwear,72,New York,Blue,XL,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Male,Shoes,Footwear,96,Virginia,Maroon,L,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,28,Georgia,Olive,S,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,40,Texas,Turquoise,M,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,Male,Coat,Outerwear,32,Arizona,Peach,S,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,Male,Sunglasses,Accessories,95,New Mexico,Charcoal,M,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,41,Nevada,Pink,L,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,53,Ohio,Green,M,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,47,Wyoming,Orange,M,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,83,California,Pink,XL,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,Male,Hat,Accessories,48,South Carolina,Violet,L,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,44,Male,Scarf,Accessories,99,South Carolina,Green,S,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,87,Texas,Olive,M,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,37,Male,Sweater,Clothing,62,Florida,Purple,M,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,Male,Skirt,Clothing,76,Nevada,Silver,S,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,Male,Sneakers,Footwear,100,Missouri,Pink,L,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,32,Male,Gloves,Accessories,73,Delaware,Gold,S,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
98,21,Male,Shoes,Footwear,92,Virginia,Teal,M,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,Male,Jeans,Clothing,67,New York,Teal,XL,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,Male,Hoodie,Clothing,40,Missouri,Indigo,XL,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,Male,Sunglasses,Accessories,98,South Dakota,Maroon,M,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,27,Male,Coat,Outerwear,85,North Dakota,White,XL,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Male,Socks,Clothing,67,Oklahoma,Violet,L,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,Male,Boots,Footwear,89,West Virginia,Red,L,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,55,Male,Sunglasses,Accessories,24,New Hampshire,Pink,L,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,69,Male,Backpack,Accessories,96,New York,Charcoal,M,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,Male,Jacket,Outerwear,35,Minnesota,White,L,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,Male,Sneakers,Footwear,67,Maryland,Olive,L,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,70,Male,Socks,Clothing,79,Montana,Purple,L,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Male,T-shirt,Clothing,85,Alabama,Violet,M,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,Male,Backpack,Accessories,26,New York,Black,M,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
112,26,Male,Belt,Accessories,75,Massachusetts,Purple,L,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,Male,Gloves,Accessories,65,Florida,Red,M,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,44,Male,Hat,Accessories,54,New Jersey,Maroon,L,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,70,Male,Coat,Outerwear,95,Massachusetts,Blue,S,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,Male,Skirt,Clothing,94,Wyoming,Gray,M,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Male,Shoes,Footwear,86,Virginia,Blue,S,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
118,50,Male,Sandals,Footwear,32,South Dakota,Yellow,L,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,50,Male,Sweater,Clothing,45,Kentucky,Orange,L,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,Male,Coat,Outerwear,76,Wyoming,Orange,M,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,64,Male,Hat,Accessories,84,West Virginia,Red,L,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,Male,Shorts,Clothing,72,Virginia,Olive,M,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,Male,Backpack,Accessories,40,Washington,Brown,L,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,Male,Sweater,Clothing,89,Louisiana,Brown,L,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,Male,Sweater,Clothing,86,Nevada,Gray,M,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
126,49,Male,Shorts,Clothing,54,California,Indigo,M,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,43,Male,Shorts,Clothing,36,Mississippi,Pink,L,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,Male,Sweater,Clothing,89,Mississippi,Gray,M,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,Male,Scarf,Accessories,32,California,Gold,M,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,Male,Dress,Clothing,67,Pennsylvania,Olive,XL,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,44,Male,Scarf,Accessories,39,Kentucky,Violet,L,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,28,Male,Skirt,Clothing,29,Maine,Indigo,L,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,Male,Backpack,Accessories,58,New Mexico,Orange,M,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,52,Male,Sweater,Clothing,65,Montana,Violet,M,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
135,43,Male,Hat,Accessories,94,Texas,Gray,L,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,Male,Sandals,Footwear,81,Kansas,Purple,M,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
137,39,Male,Blouse,Clothing,86,South Carolina,White,M,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,Male,Sneakers,Footwear,43,Colorado,Turquoise,M,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,68,Male,Skirt,Clothing,29,Georgia,Maroon,M,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,Male,Coat,Outerwear,95,Florida,White,M,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
141,63,Male,Shirt,Clothing,28,North Carolina,Yellow,L,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Male,Gloves,Accessories,46,Virginia,Turquoise,M,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,37,Male,Jacket,Outerwear,58,Nebraska,Violet,L,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,Male,Coat,Outerwear,48,Missouri,Beige,M,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,19,Male,Shoes,Footwear,43,New Jersey,Silver,M,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,24,Male,Jewelry,Accessories,95,Missouri,Teal,M,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,30,Colorado,Black,S,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
148,63,Male,Shoes,Footwear,64,Idaho,Purple,M,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,Male,Gloves,Accessories,90,Wyoming,Gray,M,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,Male,Pants,Clothing,76,Delaware,White,M,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,35,Male,Boots,Footwear,96,California,Cyan,L,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,47,North Dakota,Turquoise,L,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
153,30,Male,Shirt,Clothing,85,South Carolina,Brown,S,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
154,69,Male,Hoodie,Clothing,55,North Carolina,Maroon,M,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,41,Male,Dress,Clothing,98,Oklahoma,Charcoal,M,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
156,63,Male,Socks,Clothing,77,Maine,Olive,S,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,35,Male,Shorts,Clothing,26,Missouri,Lavender,M,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
158,36,Male,Hat,Accessories,68,Vermont,Yellow,S,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
159,25,Male,Shirt,Clothing,73,Connecticut,Teal,XL,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
160,58,Male,Gloves,Accessories,27,New Hampshire,Charcoal,M,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
161,27,Male,Gloves,Accessories,23,Texas,Orange,M,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
162,65,Male,Backpack,Accessories,49,North Dakota,Olive,M,Fall,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
163,54,Male,Sunglasses,Accessories,74,California,Turquoise,M,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
164,54,Male,Skirt,Clothing,67,Virginia,Purple,M,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
165,59,Male,Handbag,Accessories,65,Delaware,Purple,S,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,42,Male,Handbag,Accessories,60,Kentucky,Yellow,S,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
167,46,Male,Sneakers,Footwear,31,Delaware,Indigo,XL,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
168,33,Male,Gloves,Accessories,27,Arkansas,Green,M,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,80,Louisiana,Magenta,M,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
170,27,Male,Jacket,Outerwear,30,Nevada,Gold,S,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
171,52,Male,Shirt,Clothing,25,Wyoming,Maroon,M,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
172,29,Male,Shorts,Clothing,35,Virginia,Blue,M,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,67,Nebraska,Violet,M,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,25,Male,Hat,Accessories,46,Hawaii,Turquoise,M,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
175,41,Male,Shoes,Footwear,35,Vermont,Brown,L,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
176,53,Male,Coat,Outerwear,86,Oklahoma,Violet,L,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
177,53,Male,Backpack,Accessories,81,New Hampshire,Black,L,Spring,***2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
178,21,Male,Hoodie,Clothing,42,Kansas,Magenta,L,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
179,61,Male,Skirt,Clothing,43,Idaho,Lavender,L,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
180,64,Male,Boots,Footwear,31,Illinois,Violet,M,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
181,51,Male,Sandals,Footwear,81,South Dakota,Green,L,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
182,32,Male,Pants,Clothing,61,Massachusetts,Beige,M,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
183,38,Male,Gloves,Accessories,96,Alabama,Purple,XL,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
184,58,Male,Skirt,Clothing,29,Ohio,Beige,XL,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
185,32,Male,Sneakers,Footwear,33,Hawaii,Cyan,L,Spring,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly
186,46,Male,T-shirt,Clothing,32,Wisconsin,Silver,XL,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly
187,39,Male,Backpack,Accessories,56,Minnesota,Lavender,S,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
188,19,Male,Shoes,Footwear,94,Georgia,Purple,S,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
189,50,Male,Hoodie,Clothing,53,Arkansas,Pink,M,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly
190,36,Male,Blouse,Clothing,82,West Virginia,Maroon,M,Fall,4.4,Yes,Next Day Air,Yes,Yes,4,Credit Card,Weekly
191,65,Male,Coat,Outerwear,70,Indiana,Beige,XL,Fall,3,Yes,Free Shipping,Yes,Yes,48,Venmo,Quarterly
192,64,Male,Hat,Accessories,76,Utah,Gray,M,Fall,3.9,Yes,Free Shipping,Yes,Yes,29,Cash,Every 3 Months
193,46,Male,Shoes,Footwear,29,Nebraska,Turquoise,L,Summer,2.9,Yes,Express,Yes,Yes,12,PayPal,Bi-Weekly
194,36,Male,Belt,Accessories,100,North Dakota,Silver,S,Fall,3,Yes,Standard,Yes,Yes,29,Venmo,Annually
195,51,Male,Backpack,Accessories,94,Missouri,Olive,M,Spring,3.1,Yes,Express,Yes,Yes,15,Debit Card,Quarterly
196,51,Male,Jacket,Outerwear,25,New York,Magenta,M,Fall,4.3,Yes,Free Shipping,Yes,Yes,34,Credit Card,Monthly
